num inputs,range,time,constant
1000,499204,37426,0.0748215
2000,499315,37681,0.0751643
3000,499397,39774,0.0791685
4000,499673,42883,0.0851406
5000,499673,47217,0.0935596
6000,499673,50040,0.0989572
7000,499673,57984,0.114441
8000,499712,61348,0.120832
9000,499712,65347,0.128456
10000,499795,65974,0.129413
11000,499795,72183,0.141315
12000,499833,77112,0.150659
13000,499833,75832,0.147869
14000,499833,75906,0.147725
15000,499833,86570,0.168152
16000,499833,86924,0.168512
17000,499860,86205,0.166786
18000,499935,95677,0.184728
19000,499935,97061,0.187039
20000,499953,97855,0.1882
21000,499953,108807,0.208861
22000,499953,107528,0.206011
23000,499953,107046,0.204695
24000,499953,126044,0.240564
25000,499953,114452,0.218023
26000,499953,115034,0.218715
27000,499953,121909,0.231347
28000,499953,123355,0.233648
29000,499957,127286,0.240636
30000,499957,133388,0.251696
31000,499957,132824,0.25016
32000,499957,139341,0.26194
33000,499963,141423,0.265352
34000,499963,149751,0.280452
35000,499963,146041,0.272993
36000,499963,147400,0.275019
37000,499963,155717,0.289996
38000,499963,157298,0.292396
39000,499965,161540,0.299723
40000,499965,155172,0.287374
41000,499965,161894,0.299269
42000,499965,163611,0.301885
43000,499965,165420,0.304661
44000,499965,175302,0.322267
45000,499965,176860,0.324535
46000,499965,182535,0.334335
47000,499965,181152,0.331195
48000,499965,181641,0.331483
49000,499965,184813,0.336657
50000,499983,190527,0.346423
51000,499983,191181,0.346982
52000,499983,194865,0.353027
53000,499983,196594,0.355515
54000,499983,205479,0.370912
55000,499983,214288,0.386116
56000,499983,218568,0.39312
57000,499983,218980,0.393154
58000,499983,226786,0.406439
59000,499983,223781,0.400336
60000,499983,225791,0.40321
61000,499983,224742,0.400622
62000,499983,224729,0.399886
63000,499983,216569,0.384681
64000,499983,210414,0.373086
65000,499983,213662,0.378174
66000,499983,197342,0.348671
67000,499983,209446,0.369404
68000,499983,202225,0.356041
69000,499983,196721,0.345741
70000,499983,188962,0.331522
71000,499983,197430,0.345772
72000,499983,200409,0.350376
73000,499983,197224,0.344206
74000,499983,218385,0.380473
75000,499983,214631,0.373282
76000,499983,202652,0.351837
77000,499983,212427,0.368169
78000,499983,215378,0.372637
79000,499983,221160,0.38198
80000,499983,221911,0.382616
81000,499983,211477,0.363999
82000,499983,220085,0.378164
83000,499983,233101,0.399842
84000,499983,232375,0.397914
85000,499983,259613,0.443796
86000,499983,241180,0.411582
87000,499983,237025,0.403802
88000,499983,232983,0.396241
89000,499983,242788,0.412216
90000,499983,242674,0.411324
91000,499983,240742,0.407359
92000,499983,252614,0.426725
93000,499983,256202,0.432056
94000,499983,264479,0.445264
95000,499983,269872,0.453579
96000,499983,267090,0.44815
97000,499983,276820,0.463698
98000,499983,273919,0.458072
99000,499983,264491,0.441567
100000,499983,283560,0.472613
AVERAGE CONSTANT: 0.305292
