num inputs,range,merge time,merge constant,bucket time,bucket constant,bucket avg high asym/1000,bucket avg low asym,merge avg asym,,bucket asym,merge asym,,,
1000,499204,2762,0.277148,37426,0.0748215,305.292,152708.279568,2568.16267858885,,37426.013586,2761.99718292553,,500204,9965.78428466209
2000,499315,5779,0.263501,37681,0.0751643,1221.168,153047.45898,5651.7213571777,,37680.9910545,5778.99024958549,,501315,21931.5685693242
3000,499397,9719,0.280472,39774,0.0791685,2747.628,153377.784924,8929.81303529907,,39774.0168945,9718.98315717003,,502397,34652.2403561497
4000,499673,13472,0.281469,42883,0.0851406,4884.672,153767.337516,12334.2347143554,,42883.0214238,13471.9893472782,,503673,47863.1371386484
5000,499673,17003,0.276748,47217,0.0935596,7632.3,154072.629516,15832.5945239257,,47217.0040108,17002.9991280778,,504673,61438.5618977473
6000,499673,20641,0.274101,50040,0.0989572,10990.512,154377.921516,19405.8140705981,,50039.9841956,20641.033467722,,505673,75304.4807122995
7000,499673,24583,0.274941,57984,0.114441,14959.308,154683.213516,23041.2869910528,,57984.164793,24583.017666443,,506673,89411.9744470378
8000,499712,27894,0.268919,61348,0.120832,19538.688,155000.411904,26730.0534287108,,61347.856384,27893.9659523763,,507712,103726.274277297
9000,499712,32769,0.277183,65347,0.128456,24728.652,155305.703904,30465.4141044948,,65347.108672,32768.9577634525,,508712,118221.38357494
10000,499795,35911,0.270257,65974,0.129413,30529.2,155636.33514,34242.1690478513,,65974.100335,35910.972845599,,509795,132877.123795495
11000,499795,39000,0.264089,72183,0.141315,36940.332,155941.62714,38056.1641663329,,72182.995425,38999.9702695507,,510795,147677.374936293
12000,499833,44848,0.275803,77112,0.150659,43962.048,156258.520236,41904.0041411963,,77112.247947,44848.0393877887,,511833,162608.961424599
13000,499833,47484,0.267273,75832,0.147869,51594.348,156563.812236,45782.8617099669,,75832.102877,47483.9649427158,,512833,177660.912036441
14000,499833,51851,0.268903,75906,0.147725,59837.232,156869.104236,49690.3459821055,,75905.979925,51850.9383294636,,513833,192823.948894076
15000,499833,55761,0.267966,86570,0.168152,68690.7,157174.396236,53624.4085694396,,86570.198616,55761.0779544989,,514833,208090.123204059
16000,499833,60988,0.272935,86924,0.168512,78154.752,157479.688236,57583.2748574216,,86924.050496,60988.021339748,,515833,223452.548554593
17000,499860,65443,0.273929,86205,0.166786,88229.388,157793.22312,61565.3925235075,,86205.01196,65443.0628432191,,516860,238905.201140511
18000,499935,68218,0.268107,95677,0.184728,98914.608,158121.41202,65569.3922089896,,95677.09668,68217.8869722527,,517935,254442.767149879
19000,499935,72886,0.269888,97061,0.187039,110210.412,158426.70402,69594.0569560165,,97061.083465,72886.0947455757,,518935,270060.524164008
20000,499953,74338,0.260147,97855,0.1882,122116.8,158737.491276,73638.2980957027,,97855.1546,74338.110248053,,519953,285754.247590989
21000,499953,82556,0.273799,108807,0.208861,134633.772,159042.783276,77701.1359698859,,108806.764533,82555.9116773075,,520953,301520.135856258
22000,499953,84326,0.265715,107528,0.206011,147761.328,159348.075276,81781.6843326658,,107528.059483,84325.9173623943,,521953,317354.749872586
23000,499953,89586,0.268821,107046,0.204695,161499.468,159653.367276,85879.1375934391,,107045.864335,89585.932552856,,522953,333254.963536539
24000,499953,97474,0.279121,126044,0.240564,175848.192,159958.659276,89992.7602823926,,126044.229492,97474.055843591,,523953,349217.922849198
25000,499953,97170,0.266044,114452,0.218023,190807.5,160263.951276,94121.8782745354,,114451.827919,97170.1797595267,,524953,365241.01186092
