num inputs,time,constant
1000,2762,0.277148
2000,5779,0.263501
3000,9719,0.280472
4000,13472,0.281469
5000,17003,0.276748
6000,20641,0.274101
7000,24583,0.274941
8000,27894,0.268919
9000,32769,0.277183
10000,35911,0.270257
11000,39000,0.264089
12000,44848,0.275803
13000,47484,0.267273
14000,51851,0.268903
15000,55761,0.267966
16000,60988,0.272935
17000,65443,0.273929
18000,68218,0.268107
19000,72886,0.269888
20000,74338,0.260147
21000,82556,0.273799
22000,84326,0.265715
23000,89586,0.268821
24000,97474,0.279121
25000,97170,0.266044
26000,100437,0.263392
27000,103283,0.259859
28000,108840,0.263122
29000,111032,0.25828
30000,118518,0.265628
31000,122109,0.264008
32000,126396,0.263927
33000,130146,0.262743
34000,134201,0.262208
35000,134612,0.254789
36000,139536,0.256083
37000,144250,0.256909
38000,150068,0.259579
39000,152231,0.255938
40000,149296,0.244144
41000,154898,0.246552
42000,158920,0.246372
43000,163524,0.247068
44000,165040,0.243167
45000,169167,0.243198
46000,169768,0.238268
47000,177662,0.243554
48000,184112,0.246655
49000,184674,0.241896
50000,190148,0.243629
51000,192170,0.240951
52000,204963,0.251598
53000,206287,0.248011
54000,216728,0.2553
55000,228877,0.264264
56000,225316,0.255086
57000,234614,0.26053
58000,238727,0.260114
59000,248327,0.265574
60000,244358,0.256581
61000,250265,0.258088
62000,256465,0.259833
63000,253074,0.251962
64000,252802,0.247406
65000,259973,0.250159
66000,266149,0.251875
67000,275642,0.256618
68000,267797,0.245321
69000,286081,0.257933
70000,278416,0.247117
71000,287864,0.251585
72000,291383,0.250809
73000,303525,0.257364
74000,307452,0.256859
75000,307970,0.253558
76000,302516,0.2455
77000,313065,0.25047
78000,320356,0.252728
79000,322664,0.251043
80000,325883,0.250099
81000,319040,0.241559
82000,328550,0.245459
83000,343876,0.253542
84000,348571,0.253676
85000,378337,0.271815
86000,364937,0.258873
87000,362677,0.254054
88000,349387,0.24172
89000,360804,0.24657
90000,361843,0.244293
91000,361139,0.240905
92000,378178,0.24929
93000,393948,0.25665
94000,404857,0.260708
95000,408196,0.259851
96000,403826,0.254159
97000,404320,0.251619
98000,413711,0.254609
99000,411824,0.250666
100000,427198,0.257199
AVERAGE CONSTANT: 0.257698
